날짜,평균,2호기,3호기,4호기,5호기,6호기,7호기,8호기,9호기,10호기,11호기,12호기,13호기,14호기,1차 증설분,2차 증설분
2021-12-29,84.9,91,86.2,91.2,88.1,87.4,84.6,81.7,75.2,89.5,81.3,62.6,91.1,93.5,87.2,82.2
2021-12-30,82.9,88,90.7,88.7,83.4,84.1,87.7,78.3,83.9,86.4,76.7,68.5,80.5,81.2,85.8,79.5
2021-12-31,79.3,78,80.8,85.2,85.1,85.5,85.6,71.8,78.3,81.9,66.8,72.7,79.8,79,81.7,76.4
2022-01-01,81.1,86.4,76.4,81.6,86.1,85,76.6,79.1,85.2,79.8,73.6,75,81.6,88.2,81.6,80.6
2022-01-02,81.7,89.3,75.6,87.9,84.6,85.4,81,75.5,85.8,82.4,76,68.5,84.5,86.1,82.8,80.5
2022-01-03,79.4,80.4,82.8,89.4,82,83.2,79.1,80.4,82.1,77.4,73.7,56.7,79.2,85.5,82.5,75.8
2022-01-04,72.8,86.5,71.4,84,83.6,84.9,75.8,78.3,66.2,75.9,64.2,34.2,62.3,79.6,80.6,63.7
2022-01-05,63.2,72.1,70,84.2,79.8,74.1,70.8,68.7,65,44.6,62.4,17.5,39.9,73,74.2,50.4
2022-01-06,76.3,83.1,74.8,89.7,73.8,77.1,74.7,83.8,72,61.5,79.5,55.1,81,85.3,79.6,72.4
2022-01-07,78.1,83,75.5,83.8,79.5,75,78.1,76.4,76.6,70.6,77.1,73.5,83.2,83.1,78.8,77.4
2022-01-08,78.5,85.9,82.4,83.1,84.8,74.8,74.1,77.1,89.9,31.5,85.7,80.3,83.9,87.6,80.3,76.5
2022-01-09,68.4,84.5,81.2,83.6,83.1,75.1,72.3,84.2,86.1,3.9,60.8,57.2,32.7,85.2,80.6,54.3
2022-01-10,61.3,88.2,78.9,82.7,80.1,76.5,76.2,84.3,13,32.2,42.7,49.5,69.2,22.9,81,38.3
2022-01-11,59.2,83.7,84.4,79.5,80.1,78,69.6,81.7,0,28,55.5,60.4,64.5,3.7,79.6,35.3
2022-01-12,65.4,85.3,72.9,86,84,78.7,72.5,78.1,34.5,44.2,86.4,40.9,37.7,48.7,79.6,48.7
2022-01-13,66.8,88.1,46.9,81.2,81.7,85.4,71.3,79.5,15.4,58,60.6,53.9,66.7,79.8,76.3,55.7
2022-01-14,51.8,36.4,28,61.8,52.8,54,52.1,58.5,65.5,67.8,45,43.7,54.5,53.5,49.1,55
2022-01-15,65.2,26,67.3,76.5,75.5,75.5,55.3,59.8,86,81.1,60.5,24.6,80.9,78.5,62.3,68.6
2022-01-16,70.1,84.3,86.4,84.7,78.6,69.4,63.8,59,82.4,55.5,71.8,0,83.8,92.1,75.2,64.3
2022-01-17,67.2,81.5,80.2,79.3,75.9,65.4,56,69.5,72.6,66.1,67.4,25.7,81,53,72.5,61
2022-01-18,78,89.2,83,84.1,84.9,82,61.8,79.8,75.5,74.8,66.9,79,73.3,80,80.7,74.9
2022-01-19,71.1,76.3,79.3,75.7,54.4,72.5,79.4,64.4,71,75.3,64.6,60.5,65.8,85.3,71.7,70.4
2022-01-20,71.6,70.9,70.8,70.3,72.2,55.7,61.2,60.1,75,76.4,75.8,85.1,74.1,83.8,65.9,78.4
2022-01-21,82.1,83.7,87.5,80.5,79.6,80.6,80,85.6,82.2,78.8,69.8,86.8,84.3,87.8,82.5,81.6
2022-01-22,63.4,52.1,57.2,48.3,46.1,54.1,59.4,39.8,68,77.1,87.1,86.8,70.4,77.7,51,77.9
2022-01-23,79.9,73.5,80,75.6,70.5,74.9,67.6,72.9,79,88.7,93,86.7,83.4,92.7,73.6,87.3
