2021-12-22,4.8,8.2,6.6,4.2,4,7,4.5,5.7,4.1,3.9,3.1,13.9,15.2
2021-12-23,9.2,4.8,11.9,13,10.8,8.6,4.8,5.6,4.8,10,3.7,2.4,4.9
2021-12-24,26.7,7.5,12.6,8.5,9.3,6.3,5.9,3.5,3,11,2.9,9.7,8.2
2021-12-25,4.2,5.1,10.2,3.2,5,14,5.6,3.8,1.9,5,2.3,10.9,3.8
2021-12-26,7.5,4.9,19,5.9,3.6,9.1,5.1,5.4,2.3,3.1,4.4,7.5,5.5
2021-12-27,36.6,12.6,10,11.7,10.6,9,17.6,9.5,11.6,2,3.4,7,7.4
2021-12-28,15.4,18.1,33.6,23.8,12.4,23.3,10.8,5.6,16.7,4.6,3.2,10.2,10.1
2021-12-29,30.5,15.9,25.3,19.2,11,8.7,9.9,5.5,15.4,10.3,3.1,15.3,19.2
2021-12-30,28.2,26.7,26.6,8.3,12.2,14,6,15.7,16,6.6,4.8,7.5,7.7
2021-12-31,15.8,12.7,20.5,20.4,22.4,23.7,6.3,6.2,11.1,3.6,5.5,7.8,11.7
